fr,mc,phonetic,cat
ça,ailo,,pronom
ça va,cuma và,,autre
cabale,cabala,,nom
cabalistique,cabalisticu,,adjectif
cabane,cabana,,nom
cabane de chasseur,agaciun,,nom
cabane de chasseur,spera,,nom
cabanon,cabanun,,nom
cabaret,cabarè,,nom
cabaretier,cabaretiè,,nom
cabestan,arganu,,nom
cabine,cabina,,nom
cabinet (réduit),gabinetu,,nom
cabinet de travail,sm,,autre
cabinet d'aissances,gabinetu,,autre
câble,cavu,,nom
câbler,cablà,,verbe
cabotage,cabutagiu,,nom
cabrer (se),se cabrà,,verbe
cabriole,cabriola,,nom
cabrioler,cabriulà,,verbe
cabriolet,cabriulè,,nom
cabus,cabüssu,,adjectif
cacade,cagada,,nom
cache,scundiyu,,nom
jouer à cache-cache,giügà a se scunde,,autre
cacher,scunde,,verbe
se cacher,se scunde,,verbe
cachet (sceau),cacetu,,nom
cachet (capsule),cachet,,nom
cachet (rétribution),retribüçiun,,nom
cacheter,cacetà,,verbe
cachette,scundiyu,,nom
en cachette,da scundun,,nom
cachot,prejun,,nom
cachotterie,scundagna,,nom
cactus,cactüs,,nom
cadastral,cadastrale,,adjectif
cadastre,cadastru,,nom
cadavérique,cada vericu,,adjectif
cadavre,cadaveru,,nom
cadeau,regalu,,nom
cadenas,cadenassu,,nom
cadenasser,cadenassà,,verbe
cadence,cadença,,nom
cadencer,cadençà,,verbe
cadet,cadetu,,adjectif
cadre,cadru,,nom
cadrer,cadrà,,verbe
caduc,cadücu - le mal caduc,,adjectif
caducité,cadücità,,nom
cafard (insecte),babarota,,nom
avoir le cafard,avè a babarota,,autre
cafard (dénonciateur),denunçiatù,,nom
café,cafe,,nom
café au lait,cafelaite,,autre
cafetier,cafetiè,,nom
cafetière,cafetiera,,nom
cafouiller,üntartayà,,verbe
cage,gagia,,nom
cagnotte,cagnota,,nom
cagoule,cagula,,nom
cahin-caha,tintun tintrena,,locution
cahot,scrolu,,nom
caille,caya,,nom
caillebotis,carabutin,,nom
cailler,brussà,,verbe
caillot,grümu,,nom
caillot,grümelu,,nom
caillou,peira,,nom
caillou,grava,,nom
caillou,massacan,,nom
caisse,cascia,,nom
caissier,cascè,,nom
caisson,casciun,,nom
cajoler,fà de lande,,verbe
cal,calu,,nom
calamité,calamità,,nom
calandre (garniture),calandra,,nom
calandre (charançon),curcussun,,nom
calanque,calanca,,nom
calcaire,calcareu,,adjectif
calcaire,calcari,,nom
calcaire blanc rosé,culumbina,,autre
calciner,inçeneri,,verbe
calcul,carcülu,,nom
calculateur,carcülatù,,nom
calculer,carcülà,,verbe
cale (étai),puntelu,,nom
cale (soute),stiva,,nom
être à fond de cale,iesse a paio,,autre
cale sèche,bassin,,nom
cale de halage,sghiun,,nom
calebasse,cossa,,nom
caleçon,müande,,nom
calendrier,calendari,,nom
caler (étayer),puntelà - caler (baisser un mât,,verbe
calfat,carafataire,,nom
calfater,carafatà,,verbe
calfeutrer,tapà - se calfeutrer,,verbe
calibre,calibru,,nom
calibrer,calibrà,,verbe
calife,califu,,nom
califourchon (à),a cavalin,,locution
câlin,frascusu,,adjectif
calleux,caiusu,,adjectif
calligraphie,caligrafia,,nom
calligraphier,caligrafià,,verbe
callosité,calusità,,nom
calmant,sm,,adjectif
calmar,totanu,,nom
calme,carmu,,adjectif
calmer,carmà,,verbe
calomniateur,caluniatù,,adjectif
calomnie,calunia,,nom
calomnier,calunià,,verbe
calomnieux,caluniusu,,adjectif
calorifere,caluriferu,,nom
calotte,calota,,nom
calquer,carcà,,verbe
calvaire,calvari,,nom
camarade,camerada,,nom
camard (nez),nasu scrasau - camarade (mort),,nom
cambrer,ünarcà - se cambrer,,nom
cambriolage,cambriulagc,,nom
cambrioler,cambriulà,,verbe
cambuse,cambüsa,,nom
camée,cameu,,nom
caméléon,camcleun,,nom
camélia,camelia,,nom
camelot,marcante ambülante,,nom
caméra,camerà,,nom
camérier,camerè,,nom
camion,camiun,,nom
camionnage,camiunage,,nom
camionner,camiunà,,verbe
camionnette,camiuneta,,nom
camionneur,camiunaire,,nom
camisole,camijœra,,nom
camomille,camamila,,nom
camoufler,mascarà - se camoufler,,verbe
camp,C<\mpu,,nom
campagnard,campagnardu,,adjectif
campagne,campagna,,nom
campanule,campaneta,,nom
campêche,campüciu,,nom
campement,campamentu,,nom
camper,campà - se camper,,verbe
camphre,canfuru,,nom
Canada,Canadà,,nom
canadien,canadian - Canadien,,adjectif
canaille,canaya,,nom
canaillerie,canayaria,,nom
canal,canale,,nom
canalisation,canalisaçiun,,nom
canaliser,canalisà,,verbe
canard,canar,,nom
canari,canarin,,nom
cancer,ciancre,,nom
cancéreux,ciancrusu,,adjectif
candélabre,candclabre,,nom
candeur,candù,,nom
candidat,candidatu,,nom
candidature,candidatüra,,nom
candide,candidu,,adjectif
candir (faire),candi,,verbe
canette,caneta,,nom
canevas (toile),canavassu ·canevas (thème),,nom
canicule,canicüla,,nom
canif,cuteletu,,nom
canine,canina,,nom
caniveau,cüneta,,nom
canne,cana,,nom
canneler,scanelà,,verbe
cannelle,canela,,nom
cannelure,scanelatüra,,nom
cannibale,cambale,,nom
canon (artillerie),canun ·• canon (règle),,nom
canonicat,canunicatu,,nom
canonique,canonicu,,adjectif
canonisation,canunisaçiun,,nom
canoniser,canunisà,,verbe
canonnade,canunà,,nom
canonner,canunà,,verbe
canonnier,canunè,,nom
canonnière,canunera,,nom
canot,canotu,,nom
cantate,cantata,,nom
cantharide,cantarida,,nom
cantilène,cantegura,,nom
cantine,cantina,,nom
cantinier,cantiniè,,nom
cantique,canticu - un cantique de Noël,,nom
canton,cantun,,nom
cantonade,cantunada,,nom
cantonner,acantunà - se cantonner,,verbe
cantonnier,cantuniè,,nom
canule,canüla,,nom
caoutchouc,cauciù,,nom
cap,cavu,,nom
capable,capacile,,adjectif
capacité,capacità,,nom
cape,capa,,nom
capeline,capelina,,nom
capharnaüm,cafarnau,,nom
capillaire (fougère),capilera,,nom
capitaine,capitani,,nom
capitainerie,capitanaria,,nom
capital,capitale,,nom
capitale,capitala,,nom
capitalisme,capitalismu,,nom
capitaliste,capitalista,,adjectif
capitulaire,capitülari,,adjectif
capitulation,capitülaçiun,,nom
capituler,capitülà,,verbe
capon,paurusu,,adjectif
caporal,capurale; faire le caporal,,nom
capot,capo,,nom
capote,capota,,nom
câpre,tapanu,,nom
caprice,capriçi,,nom
capricieux,capriçiusu,,adjectif
capricorne,capricornu,,nom
câprier,tapanè,,nom
capsule,capsüla,,nom
capter,captà,,verbe
captif,prejunè,,adjectif
captiver,cativà,,verbe
captivité,catività,,nom
capture,catüra,,nom
capturer,catürà,,verbe
capuche,capüciu,,nom
capuchon,capüciu - capuchon de moine (aconit),,nom
capucin,capüçin,,nom
capucine,capüçina,,nom
caquet,ciancia,,nom
caquetage,cacaracà,,nom
caqueter,cascarelà,,verbe
car,perchè,,adjectif
carabine,caî'abina,,nom
carabinier,caî'abiniè,,nom
caracoler,caî'aculà,,verbe
caractère (trait distinctif),caratere,,nom
caractériser,caraterisà,,verbe
caractéristique,carateristicu,,adjectif
carafe,garafa,,nom
carafon,cartin,,nom
carambole,cai'ambula,,nom
caramel,caramela,,nom
caraméliser,caramelà,,verbe
caravane,caravana,,nom
caravelle,caravela,,nom
carbone,carboniu,,nom
carbonisation,carbunisaçi un,,nom
carboniser,carbunisà,,verbe
carburant,carbürante,,nom
carburateur,carbüratù,,nom
carcasse,carcassa,,nom
carder,cardà,,verbe
cardiaque,cardiacu,,adjectif
cardinal (principal),cardinale,,adjectif
carême,caresima,,nom
carénage,carenagiu,,nom
carence,caristia,,nom
carène,carena,,nom
caréner,carenà,,verbe
caressant,landusu,,adjectif
caresse,caressa,,nom
caresser,caressà,,verbe
cargaison,carga,,nom
caricature,caî'icatüra,,nom
caricaturer,caî'icatürà,,verbe
carie,caria,,nom
carillon,repichetu,,nom
carillonneur,campanaru,,nom
carme,carmelitan,,nom
carmélite,carmelita,,nom
carnage,strage,,nom
carnassier,carnassiè,,adjectif
carnaval,carlevà,,nom
carnet,carnetu,,nom
carotte,carota,,nom
carottes,carote,,autre
carotte sauvage,pastanaiga,,autre
caroube,carruba,,nom
caroubier,carrubè,,nom
carré,cadru,,adjectif
carré,carrau,,nom
carreau (de sol),ma un,,nom
carrefour,üncruju,,nom
carrelage,pavimentu,,nom
carrière (profession),carriera,,nom
carrosse,carrossa,,nom
carrure,carrüra,,nom
carte,carta,,nom
cartel,cartelu,,nom
carton,cartun,,nom
cartouche (étui),cartucia,,nom
cas,casu,,nom
casanier,casaniè,,adjectif
casaque,casaca,,nom
cascade,cascada,,nom
case (compartiment),cadretu,,nom
casemate,casamata,,nom
caser,casà,,verbe
caserne,caserna,,nom
caserner,casernà,,verbe
casier,casiè,,nom
casino,casin,,nom
casque,cascu,,nom
casquette,cascheta,,nom
cassation,cassaçiun,,nom
casse (louche),cassa,,nom
casse (végétal),cassia,,nom
casser,rumpe,,verbe
casserole,cassarola,,nom
casserolée,cassarulà,,nom
cassure,fissüra,,nom
castagnettes,castagnete,,nom
castagnole,castagnœra,,nom
caste,casta,,nom
castration,castraçiun,,nom
castrer,castrà,,verbe
casuel,casüale,,nom
cataclysme,cataclismu,,nom
catacombes,catacumba,,nom
catafalque,catafarcu,,nom
catalogue,catalugu,,nom
cataracte (cascade),catarata,,nom
cataracte (yeux),catarata,,nom
catarrhe,catarru,,nom
catarrheux,catarrusu,,adjectif
catastrophe,catastrofa,,nom
catéchiser,catechisà,,verbe
catéchisme,catechismu,,nom
catéchisme (livre),santa crujeta,,nom
catégorie,categuria,,nom
catégorique,categoricu,,adjectif
cathédrale,catedrala,,nom
catholicisme,catolicismu,,nom
catholique,catolicu,,adjectif
cauchemar,brütu sœnu,,nom
caudataire,portacua,,nom
causalité,causalità,,nom
cause,causa,,nom
causer (entraîner),causà,,verbe
causerie,ciarla,,nom
caustique,causticu,,adjectif
cauteleux,cautelusu,,adjectif
cautérisation,cauterisaçiun,,nom
cautériser,cauterisà,,verbe
caution,cauçiun,,nom
cautionner,cauçiunà,,verbe
cavalcade,cavalcada,,nom
cavalerie,cavaleria,,nom
cavalier,desenvoltu,,adjectif
cavatine,cavatina,,nom
cave (souterrain),cava,,nom
cave (argent),misa,,nom
caveau,tumba,,nom
caverne,caverna,,nom
caverneux,ca.vernusu,,adjectif
cavités,cavità,,nom
ce,achestu,,adjectif
ceci,aiço,,pronom
céder,cede,,verbe
cédille,çcdiya,,nom
cédrat,çedrà,,nom
cèdre,cedru,,nom
ceindre,çentürà,,verbe
ceinture,çentüra,,nom
cela,pron.dém,,autre
célébration,celebraçiun,,nom
célèbre,celebre,,adjectif
célébrer,celebrà,,verbe
célébrité,celebrità,,nom
céleri,çelaru,,nom
céleste,celeste,,adjectif
célibat,çelibatu,,nom
célibataire,çelibatari,,adjectif
celle,achela,,pronom
celle,chela,,pronom
celle,achesta,,pronom
celle,chesta,,pronom
cellulaire,çelü1ari,,adjectif
cellule,çelüla,,nom
celui,achelu,,pronom
cénacle,çenaclu,,nom
cendre,çene,,nom
cendrillon,strügiun,,nom
cène,çena,,nom
cens,ccnsu,,nom
censeur,censù,,nom
censure,censüra,,nom
cent,çentu,,adjectif
centaine,çentenà,,nom
centaure,centauru,,nom
centaurée,çentaurca,,nom
centenaire,çentenari,,adjectif
centième,çentesimu,,adjectif
centime,çentima,,nom
centimètre,çentimetru,,nom
central,çentrale,,adjectif
centralisation,çcrrfralisaçi un,,nom
centraliser,çentralisà,,verbe
centre,centru,,nom
centrer,çentrà,,verbe
centupler,çentüplicà,,verbe
cep,çepu,,nom
cèpe,bureu,,nom
cependant,epüra,,adjectif
cependant,püra,,adjectif
cependant,üntantu,,adjectif
cependant,margradu,,adjectif
