fr,mc,phonetic,cat
dactylo,dactilo,,nom
dadais,fi yurame,,nom
dague (poignard),daga,,nom
dahlia,dalià,,nom
daigner,degnà,,verbe
daim,dainu,,nom
dais,bardachin,,nom
dalle,ciapa,,nom
dam,dànu,,nom
damas,damascu,,nom
damasquiner,damaschinà,,verbe
damasser,damascà,,verbe
dame (madame),dama,,nom
dame-jeanne,damegiana,,nom
damer,damà,,verbe
damier,scachiera,,nom
damnation,danaçiun,,nom
damné,a.s,,autre
damner,danà,,verbe
danger,dangè,,nom
dangereux,dangerusu,,adjectif
dans,ün,,particule
danse,dansa,,nom
danser,ba!à,,verbe
danseur,balarin,,nom
daphné,varregu,,nom
dard,dardu,,nom
darder,dardayà,,verbe
dare-dare,ad,,autre
darse,darsena,,nom
dartre,pigurelu,,nom
date,data,,nom
dater,datà,,verbe
datte,da taru,,nom
dattier,datè,,nom
daube,doba,,nom
dauphin (cétacé),derfin,,nom
dauphinelle,a mur cumüu,,nom
daurade,durada,,nom
davantage,de ciü,,adjectif
de,de,,particule
dé (à jouer),dadu,,nom
déballer,desbalà,,verbe
débandade,desbandada,,nom
débander (ôter les bandes),desbendà,,verbe
débarbouiller (se),se lavà a facia,,verbe
débarcadère,desbarcu,,nom
débarquement,desbarcamentu,,nom
débarquer,desbarcà,,verbe
débarras,desbarrassu,,nom
débarrasser,desbarrassà,,verbe
débat,discüssiun,,nom
débâter,desbastà,,verbe
débâtir,desbasti,,verbe
débattre (se),se debalc,,verbe
débauche,licence,,nom
débauché,libidinusu,,adjectif
débile,debule,,adjectif
débilité,debulessa,,nom
débiner,dcnigrà,,verbe
débit (émission continue),scuru,,nom
débiter (comptabililé),adcbità,,verbe
débiteur (qui doit),debitù,,nom
déblai,zetu,,nom
déblatérer,sparlà,,verbe
déblayer,sgumbrà,,verbe
débloquer,desblucà,,verbe
déboire,desgüstu,,nom
déboiser,dcsbuscà,,verbe
débonnaire,bunari,,adjectif
débordement,desburdamcntu,,nom
déborder (passer le bord),desburdà,,verbe
débouché,sbucu,,nom
déboucher (ôter le bouchon),destapà,,verbe
débour cr,desbursà,,verbe
débout,dritu,,adjectif
déboutonner,desbutunà,,verbe
débrider,desbridà,,verbe
débris,avançu,,nom
débrouiller,desbruyà,,verbe
débroussailler,desbaragnà,,verbe
début,debü,,nom
débutant,principiante,,adjectif
débuter,debütà,,verbe
décacheter,descacetà,,verbe
décade,decada,,nom
décadence,decadença,,nom
décadent,decadente,,adjectif
décalitre,decalitre,,nom
décalotter,scapelà,,verbe
décamètre,decametre,,nom
décamper,dcscampà,,verbe
décaper,decapà,,verbe
décapiter,decapità,,verbe
décéder,more,,verbe
décembre,deçembre,,nom
décence,decença,,nom
décennal,dccenale,,adjectif
décent,decente,,adjectif
déception,delüsiun,,nom
décerner,dccernc,,verbe
décès,decessu,,nom
décevoir,delüde,,verbe
déchaîner,sfrenà,,verbe
décharge (quittance),qitança,,nom
décharger (ôter la charge),descargà,,verbe
décharner,descarnà,,verbe
déchausser,dcscaussà,,verbe
déchéance,decadença,,nom
déchet,retayu,,nom
déchiffrer,decifrà,,verbe
déchiqueter,tayüçâ,,verbe
déchirer,straçà,,verbe
déchirure,strcpu,,nom
déchoir,scade,,verbe
décider,deçidà,,verbe
décimal,decimale,,adjectif
décimer,decimà,,verbe
décisif,deçisivu,,adjectif
décision,deçisiun,,nom
déclamation,declamaçiun,,nom
déclamer,declamà,,verbe
déclaration,declaraçiun,,nom
déclarer,declarà,,verbe
déclasser,desclassà,,verbe
déclencher,scatà,,verbe
déclin,declin,,nom
déclinaison,declinaçiun,,nom
décliner (rejeter),declinà,,verbe
déclivité,pendença,,nom
déclouer,descciudà,,verbe
décoiffer,despencenà,,verbe
décoller,desculà,,verbe
décolleté,despeturinau,,adjectif
décolleter,desculetà,,verbe
décolorer,desculuri,,verbe
décombres,cauçinassu,,nom
décomposer,decumpusà,,verbe
décomposition,decumpusiçiun,,nom
déconcerter,descuncertà,,verbe
décor,decor,,nom
décoration,decuraçiun,,nom
décorer,decurà,,verbe
découdre,descüje,,verbe
découler,decurre,,verbe
découper,tayà,,verbe
découragement,descuragiamentu,,nom
décourager,descuragià,,verbe
découronner,descurunà,,verbe
décousu,a,,autre
découvert,sm,,adjectif
découverte,descrüverta,,nom
découvrir,descrœve,,verbe
décrasser,descrassà,,verbe
décrépit,decrepitu,,adjectif
décrépitude,decrepitüdine,,nom
décret,decretu,,nom
décréter,decretà,,verbe
décrire,descri ve,,verbe
décrocher,descrucià,,verbe
décroître,descresce,,verbe
décrotter,lüstrà,,verbe
décrotteur,lüstrin,,nom
déculotter,desbragà,,verbe
décuple,sm,,adjectif
décupler,decüplà,,verbe
dédaigner,desdegnà,,verbe
dédain,desdegnu,,nom
dédale,labirintu,,nom
dedans,drüntu,,adjectif
dédicace,dedica,,nom
dédier,dedicà,,verbe
dédire,desdi,,verbe
dédommagement,cumpensu,,nom
dédommager,dedaumagià,,verbe
déduction,dedüçiun,,nom
déduire,dedüi,,verbe
déesse,deessa,,nom
défaillance,stramurtimentu,,nom
défaire,derfà,,verbe
défaite,batosta,,nom
défalquer,defarcà,,verbe
défaut,defetu,,nom
défavorable,desfavurabile,,adjectif
défection,defeçiun,,nom
défectueux,defetusu,,adjectif
défendre (protéger),defende,,verbe
défense (protection),defesa,,nom
défenseur,defensù,,nom
défensif,defensivu,,adjectif
déférence,deferença,,nom
déférent,deferente,,adjectif
déférer,deferi,,verbe
déferrer,desferrà,,verbe
défi,sfida,,nom
défiance,marfiança,,nom
déficeler,desfiçelà,,verbe
déficit,mancança,,nom
défier (provoquer),sfidà,,verbe
défigurer,desfigürà,,verbe
défilé (gorge),clüsa,,nom
défiler (passer),defilà,,verbe
définir,defini,,verbe
définitif,definitivu,,adjectif
définition,definiçiun,,nom
déflorer,sverginà,,verbe
défoncer (enfoncer),sfundà,,verbe
déformer,defunnà,,verbe
défourner,desfurnà,,verbe
défraîchi,remenau,,adjectif
défricher,dezerbà,,verbe
défriser,desfrisà,,verbe
défroquer,desfratà,,verbe
défunt,defüntu,,adjectif
dégager (reprendre),desgagià,,verbe
dégarnir,desgarni,,verbe
dégât,gastu,,nom
dégel,dezeru,,nom
dégelée,batosta,,nom
dégeler,dezerà,,verbe
dégénération,degeneraçiun,,nom
dégénérer,degenerà,,verbe
dégonfler,desgunfià,,verbe
dégorger,desgurà,,verbe
dégourdi,desgurdiu,,adjectif
dégourdir,desgurdi,,verbe
dégoût,desgüstu,,nom
dégoûtant,schifusu,,adjectif
dégoûter,desgüstà,,verbe
dégradation,degradaçiun,,nom
dégrader (abîmer),degradà,,verbe
dégraisser,desgrascià,,verbe
degré (marche escalier),bancheţu,,nom
dégringoler,rabatà,,verbe
dégrossir,desgrussà,,verbe
déguisement,mascarada,,nom
déguiser,mascarà,,verbe
déguster,tastà,,verbe
déhancher (se),se desancà,,verbe
dehors,de fœra,,adjectif
déjà,degià,,adjectif
déjeuner,se demà,,verbe
delà,prép,,adjectif
délabré,delabrau,,adjectif
délabrer,delabrà,,verbe
délai,prulungaçiun,,nom
délaisser,abandunà,,verbe
délassement,recrcaçiun,,nom
délateur,delatù,,nom
délation,delaçiun,,nom
délayer,lendenl,,verbe
délectation,diletaçiun,,nom
délecter (se),se diletà,,verbe
délégation,delcgaçiun,,nom
délégué,delegau,,adjectif
déléguer,delegà,,verbe
délibératif,deliberativu,,adjectif
délibération,deliberaçiun,,nom
délibérer,delibcrà,,verbe
délicat,delicau,,adjectif
délicatesse,delicatessa,,nom
délice,deliçia,,nom
délicieux,deliçiusu,,adjectif
délier,derligà,,verbe
délimitation,limitaçiun,,nom
délimiter,limità,,verbe
délinquant,delinqente,,adjectif
délire,deliriu,,nom
