fr,mc,phonetic,cat
eau,aiga,,nom
ébahi,stüpiu,,adjectif
ébahi,üncantau,,adjectif
ébahir,stüpl,,verbe
s'ébahir,se stüpi,,verbe
ébarber,desbarbà,,verbe
ébarber,sbarbà,,verbe
ébauche,esqissa,,nom
ébaucher,esqissà,,verbe
ébène,ebanu,,nom
ébéniste,ebanista,,nom
ébénisterie,ebanistaria,,nom
éberlué,ariau,,adjectif
éberluer,ümbarlügà,,verbe
éblouir,ümbarlügà,,verbe
éblouir,fa stravede,,verbe
éblouissement,barlügamentu,,nom
éborgner,ümburni,,verbe
ébouillanter,sbuientà,,verbe
ébouillanter,sbuyentà,,verbe
s'ébouillanter,se sbuientà,,verbe
éboulement,sbuira,,nom
ébouler (s'),sbuirà,,verbe
éboulis,sbuira,,nom
ébourgeonner,desbrutà,,verbe
ébrancher,desbrancà,,verbe
ébranler (secouer),scrulà,,verbe
ébranler (affaiblir),ündebuli,,verbe
s'ébranler (démarrer),se mete ün marcia,,verbe
ébriété,ümbriaghessa,,nom
ébullition,ebüliçiun,,nom
ébullition,sbuientada,,nom
ébullition,buyu,,nom
écaille,scaya,,nom
écailler,scayà,,verbe
s'écailler,se scayà,,verbe
écart,scartu,,nom
écart,scartamentu,,nom
écarter,scartà,,verbe
écarter,descustà,,verbe
s'écarter (s'éloigner),se descustà,,verbe
ecclésiastique,eclesiasticu,,adjectif
écervelé,desmemuriau,,adjectif
écervelé,testa de büzugu,,adjectif
échafaud,patlbulu,,nom
échafaudage,ponte,,nom
dresser un échafaudage,puntelà,,autre
échalas,scarrassun; sf,,nom
échalasser,scarrassunà,,verbe
échalote,scialota,,nom
échange,scangiu,,nom
échanger,scangià,,verbe
échantillon,ciantiyun,,nom
échappée,scapada,,nom
échappement,scapamentu,,nom
échapper,scapà,,verbe
s'échapper,scapà,,verbe
écharde,schiya; sm,,nom
écharner,scarnificà,,verbe
écharpe,sciarpa,,nom
échaudé,canestrelu; a,,nom
échauffer (rendre chaud),scaudà,,verbe
échauffer (exciter),acalurà,,verbe
s'échauffer,s'acalurà,,verbe
s'échauffer (s'agiter),scarmenà,,verbe
échauguette,agaciun; sm,,nom
échéance,scadença; sm,,nom
à brève échéance,tra pocu,,autre
échec,scacu,,nom
échec,insücessu,,nom
jeu d'échecs,scacni,,nom
échelle,scara,,nom
échelon,scarin,,nom
écheveau,scagnun,,nom
échine,schina,,nom
échiquier,scacbjera,,nom
écho,ecu,,nom
échoir,scade,,verbe
échouer (faillir),fa fiascu,,verbe
s'échouer (marine),s'arenà,,verbe
s'échouer (marine),se schœyà,,verbe
écimer,desgrelà,,verbe
éclaboussement,gisclada,,nom
éclaboussement,sbrinciada,,nom
éclabousser,puscà,,verbe
éclaboussure,puscu,,nom
éclair,laussu,,nom
éclairage,scciairamentu,,nom
éclairage,eclerage,,nom
éclaircir,scciairl,,verbe
s'éclaircir,se scciair,,verbe
éclaircissement,scciarimentu,,nom
éclaircissement,rescciairamentu,,nom
éclairer,rescciairà,,verbe
s'éclairer,se fa lüme,,verbe
éclaireur,espluratù,,nom
éclat (fragment),tocu,,nom
éclat (fragment),framentu,,nom
éclat (bruit),burdelu,,nom
éclat (bruit),fracassu,,nom
éclat (clarté),ciairù; sf,,nom
éclatant,lampante,,adjectif
éclatant,rümurusu,,adjectif
éclatement,crepu,,nom
éclater,esplode,,verbe
éclater,scciupà,,verbe
éclater,petà,,verbe
éclater,crepà,,verbe
éclectique,ecleticu,,adjectif
éclectisme,ecletismu,,nom
éclipse,eclissi,,nom
éclipser,eclissà,,verbe
s'éclipser,s'eclissà,,verbe
s'éclipser,se svapurà,,verbe
éclore (poussins),sorte de l'œuf,,verbe
écœurant,destumegusu,,adjectif
écœurer,destumegà,,verbe
école,schœra,,nom
écolier,eculiè,,nom
économat,ecunumà,,nom
économe,sm,,adjectif
économie,ecunumia,,nom
économique,ecunomicu,,adjectif
économiquement,ecunumicamente,,adjectif
économiser,ecunumisà,,verbe
économiste,ecunumista,,nom
écope,sansura,,nom
écorce,schœrça,,nom
écorcher (un animal),spelà,,verbe
écorcher (égratigner),sgrafignà,,verbe
s'écorcher,se sgrafignà,,verbe
écosser,desgranà,,verbe
écot,parte,,nom
écoulement,scuru,,nom
écouler,scurà,,verbe
écourter,scürcià,,verbe
écoute (cordage),scota,,nom
écoute (guet),scuta,,nom
écouter,scutà,,verbe
être à l'écoute,spià,,nom
s'écouter,se scutà,,verbe
écoutille,bucaportu,,nom
écouvillon,redassa; sf,,nom
écran,ecran,,nom
écrasement,scbissada,,nom
écraser,scrasà,,verbe
écraser,schissà,,verbe
écraser,sciacà,,verbe
écraser,pistà,,verbe
écrémer,descremà,,verbe
écrevisse,gambaru,,nom
écrier (s'),se mete a crià,,verbe
écrin,scrignu,,nom
écrire,scrive,,verbe
écrit,scritu,,adjectif
écriture,scritüra,,nom
écrivailler,scrivassà,,verbe
écrivailleur,scrivassiè,,nom
écrivailleur,scarabucin,,nom
écrivain,scritù,,nom
écrou (négatif boulon),scru,,nom
écrou (emprisonnement),ümprejuna mentu,,nom
écrouelles,scrufule,,nom
écrouler (s'),derrucà,,verbe
écrouler (s'),s'afalà,,verbe
écu,scüu,,nom
écueil,scbœyu,,nom
écuelle,busciura,,nom
écuelle,scüdela,,nom
écume,scciüma,,nom
écume,scüma,,nom
écumer,scümà,,verbe
écumer,fa de scüma,,verbe
écumeux,scümusu,,adjectif
écumoire,scümera,,nom
écureuil,schirotu,,nom
écurie,scüdaria,,nom
écusson,scüu,,nom
éczéma,ma de l'infernu,,nom
édenté,desdentau,,adjectif
édenter,desdentà,,verbe
édifiant,edificante,,adjectif
édification,edificaçiun,,nom
édifice,edifiçi,,nom
édifier (bâtir),edificà,,verbe
édifier (élever),dà l'esempi,,verbe
édile,edile,,nom
édile,cunseyè cumünale,,nom
édilité,edilità,,nom
édit,editu,,nom
éditer,edità,,verbe
éditeur,editù,,nom
édition,ediçiun,,nom
édredon,vana,,nom
éducateur,edücatù,,nom
éducatif,edücativu,,adjectif
éducation,edücaçiun,,nom
éduquer,edücà,,verbe
effacer,efaçà,,verbe
effacer,sfaçà,,verbe
effacer,scassà,,verbe
s'effacer,se sfaçà,,verbe
effaré,stralünau,,adjectif
effectif,efetivu,,adjectif
effectuer,efetüà,,verbe
efféminé,efeminau,,adjectif
effervescence,efervescença,,nom
effervescent,efervescente,,adjectif
effet (résultat,sm,,autre
effeuiller,desfœyà - s'effeuiller,,verbe
efficace,eficace,,adjectif
efficacement,eficacemente,,adjectif
efficacité,eficacità,,nom
effigie,efigie,,nom
efflanqué,desfiancau,,adjectif
effleurer,aflurà,,verbe
effondré,acasciau,,adjectif
effondrer (s'),prefundà,,verbe
efforcer (s'),tacià,,verbe
effort,sforçu,,nom
effrayer,spaventà,,verbe
s'effrayer,se spaventà,,verbe
effréné,efrenau,,adjectif
effroi,spaventu,,nom
effronté,sfruntau,,adjectif
femme effrontée,ciabala,,nom
effronterie,fruntaria,,nom
effroyable,spaventusu,,adjectif
effusion,efüsiun,,nom
égal,egale,,adjectif
également,egalamente,,adjectif
égaler,egalà - s'égaler,,verbe
égaliser,egalisà,,verbe
égalité,egalità,,nom
égard,cunsideraçiun,,nom
égarer,perde - s'égarer,,verbe
égayer,ralegrà,,verbe
égide,egida,,nom
églantier,gratacü,,nom
église,geija,,nom
églogue,egluga,,nom
égoïsme,eguismu,,nom
égoïste,eguista,,adjectif
égorger,scanà,,verbe
égosiller (s'),se desgusià,,verbe
égosiller (s'),se desganascià,,verbe
égout,egù,,nom
égoutter,scurà,,verbe
s'égoutter,se scurà,,verbe
égouttoir,scura piati,,nom
égratigner,sgrafignà,,verbe
égratignure,sgrafignada,,nom
égrener,desgranà,,verbe
s'égrener,se desgranà,,verbe
Égypte,Egitu - nm,,nom
égyptien,egiçian,,adjectif
eh,e,,salutation
