fr,mc,phonetic,cat
fable,fora,,nom
fable,favula,,nom
fabricants,fabricante,,autre
fabricants,manüfatù,,autre
fabrication,fabricaçiun,,nom
fabrique,fabrica,,nom
fabrique,manüfatüra,,nom
fabriquer,fabricà,,verbe
fabuler,fantasticà,,verbe
fabuleux,favulusu,,adjectif
fabuleux,fantasticu,,adjectif
façade,faciada,,nom
face (visage),facia,,nom
face (visage),murru,,nom
face (visage),visu,,nom
face (surface),facia,,nom
facétie,faceçia,,nom
facétieux,faceçiusu,,adjectif
fâcher,facià,,verbe
se fâcher,se facià,,verbe
se fâcher,s'ufende,,verbe
fâcherie,pica,,nom
fâcheux,despieijente,,adjectif
fâcheux,impurtün,,nom
*facile,facile,,adjectif
facilement,facilamente,,adjectif
facilité,facilità,,nom
facilité,facilitau,,autre
faciliter,facilità,,verbe
façon (travail),façun,,nom
façon (manière / sorte),manera,,nom
façon (manière / sorte),façun,,nom
façon (manière / sorte),modu,,nom
façons,çeremonie,,nom
façons,cumplimenti,,nom
faconde,facundia,,nom
façonner,façunà,,verbe
facteur (postes),pustiè,,nom
facteur (qui produit),fatù,,nom
faction,façiun,,nom
factotum,fatütu,,nom
facture (pièce comptable),fatüra,,nom
facture (pièce comptable),nota,,nom
facture (fabrication),fatüra,,nom
facture (fabrication),fabricaçiun,,nom
facturer,fatürà,,verbe
facultatif,facültativu,,adjectif
faculté,facültà,,nom
la Faculté,i mediçi,,autre
fada,tabalceri,,nom
fade,fatu,,adjectif
fagot,fasciu,,nom
fagot,fagotu,,nom
fagoter,fagutà,,verbe
fagoter,busunà,,verbe
fagoter,gimbrà,,verbe
faible,debule,,adjectif
faiblesse,debulessa,,nom
faiblir,debuli,,verbe
faïence,faiança,,nom
faille (géologie),faya,,nom
faille (géologie),crepaüra,,nom
faille (étoffe),faya,,nom
faillir,mancà,,verbe
faillir,sbayà,,verbe
faillir,fa falimentu,,verbe
faillite,fayita,,nom
faillite,falimentu,,nom
faire faillite,picà d'u cü,,autre
faim,fame,,nom
fainéant,fenean,,adjectif
fainéant,pigru,,adjectif
fainéantise,feneantisa,,nom
faire,fa,,verbe
se faire,se fà,,verbe
faisable,pussibile,,adjectif
faisable,che se po fa,,adjectif
faisan,fagian,,nom
faisceau,fasciu,,nom
fait,fau,,autre
fait,fatu,,nom
faîte,sumità,,nom
falaise,costa a pieu,,nom
falaise,schceyu,,nom
falbala,farbalà,,nom
falloir,furè,,verbe
falsificateurs,farsificatù,,autre
falsification,farsificaçiun,,nom
falsifier,farsificà,,verbe
falsifier,fuscinà,,verbe
famélique,afamau,,adjectif
famélique,famelicu,,adjectif
fameux,famusu,,adjectif
familial,familiale,,adjectif
familiariser,familiarisà,,verbe
se familiariser,se familiarisà,,verbe
se familiariser avec,praticà,,autre
familiarité,familiarità,,nom
familier,familiari,,adjectif
familièrement,familiaramente,,adjectif
familièrement,famiyaramente,,adjectif
famille,famiya,,nom
famine,famina,,nom
famine,caristia,,nom
fanal,fanà,,nom
fanatique,fanaticu,,nom
fanatiser,fanatisà,,verbe
fanatisme,fanatismu,,nom
fanchon,mandiyu da testa,,nom
fandango,fandangu,,nom
faner (flétrir),passi,,verbe
se faner,se passl,,verbe
se faner,se reperl,,verbe
faner (retourner le foin),revirà (u fen),,verbe
fanfare,fanfaîa,,nom
fanfaron,aleventi,,adjectif
fanfaron,fanfarun,,nom
fanfaronnade,fanfaiunada,,nom
fanfreluche,cianfrüsaya,,nom
fange,fanga,,nom
fange,pauta,,nom
fange,paciassu,,nom
fangeux,fangusu,,adjectif
fangeux,pautusu,,adjectif
fanion,faniun,,nom
fantaisie,fantasia,,nom
fantaisiste,fantasista,,adjectif
fantasmagorie,fantasmaguria,,nom
fantasmagorique,fantasmagoricu,,adjectif
fantasque,fantascu,,adjectif
fantastique,fantasticu,,adjectif
fantôme,fantasmu,,nom
fantôme,cussu,,nom
fantôme,spetru,,nom
faquin,fachin,,nom
faquin,camalu,,nom
farandole,farandola,,nom
farce (plaisanterie),bürla,,nom
farce (plaisanterie),cuyunada,,nom
farce (plaisanterie),cuyunaria,,nom
farce (plaisanterie),scherçu,,nom
farce (hachis),farça,,nom
farceur,bürlun,,nom
farcir,façüme,,adjectif
farcir,farçiu,,adjectif
fard,pastissu da se fà bela,,nom
fardeau,fardelu,,nom
fardeau,carga,,nom
farder,fardà,,verbe
se farder,se fardà,,verbe
se farder,se fa bela,,verbe
se farder,se pintà,,verbe
farfouiller,farfuyà,,verbe
farfouilleur,farfuyun,,adjectif
fariboles,faribola,,autre
farine,farina,,nom
farineux,farinusu,,nom
farouche,sarvaigu,,adjectif
fascicule,fasciculu,,nom
fascination,fascinu,,nom
fasciner,fascinà,,verbe
fasciner,üncantà,,verbe
fascisme,fascismu,,nom
fasciste,fascista,,adjectif
faste,ürusu,,adjectif
faste,fastu,,adjectif
faste,felice,,adjectif
faste,lüssu,,nom
fastidieux,fastidiusu,,adjectif
fastueux,fastüusu,,adjectif
fat,arleri,,adjectif
fat,fadassu,,adjectif
fat,fatüu,,adjectif
fatal,fatale,,adjectif
fatalement,fatalamente,,adjectif
fatalisme,fatalismu,,nom
fataliste,fatalista,,adjectif
fatalité,fatalità,,nom
fatidique,fatidicu,,adjectif
fatigant,fatigusu,,adjectif
*fatigue,fatiga,,nom
fatiguer,fatigà,,verbe
fatiguer,scagassà,,verbe
fatiguer,stancà,,verbe
fatiguer,strapassà,,verbe
se fatiguer,se fatigà,,verbe
se fatiguer,se stancà,,verbe
fatras,pastissu,,nom
fatuité,fatüità,,nom
faubourg,suburgu,,nom
faucher,segà,,verbe
