fr,mc,phonetic,cat
jable,gina,,nom
jabot (ornement de col),cravata da ceremonie,,nom
jacasser,ciarlà,,verbe
*Jacques,Giacumu,,nom
jadis,d'ün tempu,,adjectif
jaillir,surge,,verbe
jaillissement,ruyu,,nom
jalon,palu,,nom
jalouser,vpr. se girusà,,verbe
jalousie (sentiment),suspetu • jalousie (persienne),,nom
jamais,giamai,,adjectif
jante,sm. lamun,,nom
japonais,n. Giapunese,,adjectif
*jardinier,sf grilu de terra sm,,adjectif
jargonner,giargunà,,verbe
les grives jargonneront,i turdi giargunerun,,autre
jaser,cialabrunà,,verbe
jauge (mesure),sf tunage sm,,nom
jauger (évaluer),müsürà • jauger (marine),,verbe
*Jean,Gian,,nom
jeannette,nf Giuaneta,,nom
Jésus-Christ,Gesü Cristu,,autre
jet,sf sbrinciada - jet d'eau: ruyu sm,,nom
*jeter,tirà - se jeter,,verbe
joindre (rejoindre),rezunze • joindre (unir),,verbe
joint,mistu,,nom
jonc,giuncu,,nom
*jonchée (amas),sm. mügiu • jonchée (fromage),,nom
joncher,spantegà,,verbe
jongler,balesà,,verbe
*joue,mascela,,nom
*jouer,vpr. scherçà,,verbe
*joueur,s. giügaire,,adjectif
jouissance,pieijè sm,,nom
*jour (clarté,sm. giurnu • jour (orifice),,autre
joyeux,alegru,,adjectif
jubilation,sm. giübilu,,nom
jucher,giücà - se jucher,,verbe
juchoir,giucu,,nom
Judas,sm. fenestrin,,nom
*jugement,giüdiçi,,nom
juger,sentençià,,verbe
se juger,se stimà • au juger,,verbe
juif,n. Giüdiu,,adjectif
*juillet,mese d'a Madalena,,nom
*juin,zügnu,,nom
jumeau,bessunà,,adjectif
jumelle (f de jumeau),sf canuciale sm,,nom
se justifier,se giüstificà,,verbe
se juxtaposer,se giüstapusà,,verbe
