fr,mc,phonetic,cat
macaron,macarun,,nom
* mâchoire,mascela,,nom
mâ.churer (salir),ümbratà,,verbe
• maçon,müraù,,nom
maçonner,mürà,,verbe
maculer,spurcà,,verbe
magicien,stregun,,nom
* magie,stregunaria,,nom
magistrat,edile,,nom
magnifique,splendidu,,adjectif
magot (singe),sm. bursa ae cunumie sf,,nom
*madame,scià inv.. si-,,nom
maigrir,dimagri,,verbe
magasin,negoçi,,nom
* maille (boucle),sf sou sm.inv,,nom
maintien,andi,,nom
maire,pudestà,,nom
mairie,cumüna,,nom
* mais,püra,,particule
* maître,mestre,,nom
maîtresse,mestressa,,nom
maîtrise (contrôle,sf valentia • maîtrise (manécanterie),,nom
maîtriser,frenà - se maîtriser vpr. se retegne,,verbe
majorer,aumentà,,verbe
majorité,magiurità,,nom
*mal,a.ad. ma,,nom
* maladie,sm. malanu,,nom
maladif,patraca,,adjectif
maladresse,inabilfrà,,nom
maladroit,' manciun,,adjectif
malappris,vilan,,adjectif
malédiction,marediçiun; sm. impruperi,,nom
maléfice,malefiçi,,nom
malfaiteur,manegurdu,,nom
malgré,margrà,,particule
*malheur,malür,,nom
*malheureux,disgraçiau,,adjectif
* malin,fürbu,,adjectif
malingre,stringhin,,adjectif
malle,baü,,nom
malmener,strapassà,,verbe
malpropre,brütu,,adjectif
maltraiter,strapassà,,verbe
malveillant,marignu,,adjectif
malvenu,marfau,,adjectif
malversation,prevaricaçiun,,nom
maman,mamà,,nom
grand-maman,maigran,,nom
mamelle,pussa ; sm,,nom
mamelon (sein),capüçu,,nom
mammifère,mamiferu,,nom
manager,managè,,nom
manant,paisan,,nom
manche (vêtement),sf man ci a,,nom
manchon,sf manüfla,,nom
mandat,mandà,,nom
mandibule,mandibula,,nom
* manger,vpr. se mangià • manger,,verbe
maniaque,maniacu,,adjectif
* manier,parpà,,verbe
* manière,façun; sm. modu,,nom
maniéré,cumplimentusu,,adjectif
manifeste,flagrante • manifeste,,adjectif
manifester,esternà,,verbe
manipuler,esibl,,verbe
