fr,mc,phonetic,cat
naïf a,infiurau,,autre
naissance sf,nascita; sm,,nom
naître vi,spuntà,,nom
nantir v,se nanti,,nom
narcisse sm,narcisu,,autre
narine sf,narije,,nom
nasse sf,sm,,nom
natation sf,sm,,nom
naturalisation sf,ümpayage sm,,nom
naturaliser v,ümpayà,,nom
naturel a,natüralessa sf,,nom
naturellement,natüralamente,,adjectif
nausée sf,sm,,nom
naval,navale,,adjectif
navette (tissage),naveta,,nom
navigateur sm,navigante,,nom
ne ad,nun,,nom
néanmoins ad.conj,nunustante,,autre
nébuleux a,nebülusa,,nom
nécessaire a,necessari,,nom
nécessité sf,büsœgnu,,nom
nécessiteux a,poveru,,nom
négatif a,negativa,,nom
négligence sf,nuncürança,,nom
négligent a,nuncürante,,nom
négliger v,trasandà,,nom
négocier v,se neguçià,,nom
net a,netu,,nom
nettoyage sm,netesà sf,,nom
nettoyer v,mundà,,nom
neuf a,sm,,nom
neutre a,neutru,,nom
ni conj,nin,,nom
niais a,gnocu,,adjectif
niche (loge) sf,cucia ' niche (espièglerie) sf,,nom
nicher v,se nicià,,nom
Nicolas nm,Nieul in,,nom
nigaud a,babeu,,autre
nitouche sf,nicuteta ; sainte nitouche: santa mitucia,,nom
nœud sm. grupu,nudu,,nom
noir a. negru,murelu,,nom
nom sm. nume,sustantivu,,nom
nourrir v. nurri,alimentà - se nourrir vpr. se nurri,,adjectif
nourriture sf. nurritüra,nütrimentu,,verbe
nouveau a. nœvu,sf nuvità,,autre
nouvelle sf nœva,nuvela,,nom
nuque sf nüca,cota - coup sur la nuque: nücada sf,,autre
