fr,mc,phonetic,cat
*pair (semblable) a.s. pari,seigneur) sm. pari,,autre
paisible a. pla cidu,paiju,,autre
palette sf,pareta,,autre
palpitation sf,batichre,,autre
* par prép. da,per,,adjectif
parabole (allégorie) sf parabula,storia • parabole (géométrie) sf parabula,,adjectif
paraffine,parafina,,nom
*paraître vi,cumpari,,autre
parallèle a,cunfrontu,,autre
parasol,parasuriyu,,nom
parâtre,pafrastru,,nom
* pardon sm. pardun,scüsa,,autre
pardonner v. pardunà,cundunà,,autre
pareil a. parescu,simile • pareil,,autre
vpr. s'urnà,schivà,,nom
*paresseux a.s. fiacusu,paressusu,,autre
*parier v. parià,giüga,,nom
* parler,parlà,,verbe
se parler,se parlà · parler sm. parlà,,verbe
parloir,parlatori,,nom
parlotte,parlota,,nom
parodie,paî'udia,,nom
partager v. partagià,<livide,,nom
parti (union de personnes / résolution),partiu • parti (partagé) a. spartiu,,nom
partial,parçiale,,adjectif
partialité,parçialità,,nom
participant,participante,,adjectif
* partie sf partia,purçiun,,autre
pastoral a. pasturale,sm. nuè inv,,nom
pauvre a.s. poveru,meschin - un pauvre d'esprit: ün scemu,,nom
paver v. maunà,pavà,,autre
* pavillon (drapeau) sm. pavayun,.~( vileta,,autre
*peine,püniçiun; sm. fastidi,,nom
peiner,stentà,,verbe
pelage,sf pele,,nom
peler,spülücà,,verbe
pelle,pala,,nom
pelletée,p~là,,nom
pelote,sm. grürniscelu,,nom
peloton,sf squadra,,nom
pelouse,sm,,nom
penchant,sf inclinaçiun,,nom
pencher,pende,,verbe
pendaison,sm,,nom
pendant,üntantu • pe11-,,particule
* pendre,apende - se pendre,,verbe
pendu,ümpicau,,adjectif
pendule,sm. pendülu,,nom
pêne,sf,,nom
pénétrant,perspicace,,adjectif
* pénétrer,trapassà - se pénétrer,,verbe
pénible,penusu,,adjectif
pénis,bicu,,nom
(confrérie),batJi,,nom
*pensée (faculté),sm. pensieru • pensée (fleur),,nom
*penser,reflete,,verbe
pension,sf,,nom
* pente,pendença,,nom
pénurie,caristia,,nom
pépiement,repepiyu,,nom
pépier,repepiyà,,verbe
percale,percalina,,nom
perception (impôts),sf. perceçiun,,nom
*percer,penetrà,,verbe
percevoir,scode,,verbe
percher,giucà - se percher,,verbe
perchoir,giucu,,nom
perçoir,sf,,nom
percuter,picà,,verbe
* perdre,vpr. se,,verbe
*père,padrc,,nom
perfectionner,vpr. se perfeçiunà,,verbe
•péril,riscu,,nom
périr,more,,verbe
perler,·,,verbe
permanent,sf permanenta,,adjectif
permettre,cuncede - se,,verbe
permis,sm,,adjectif
permission,licença; sm,,nom
perpétuel,percne,,adjectif
perron,sf,,nom
persécuter,perseghità,,verbe
persienne,girusia,,nom
persister,perseverà,,verbe
persuader,cunvince - se,,verbe
perte,perdiçiun,,nom
pervertir,depravà - se pervt:rlir,,verbe
pesanteur,gravità,,nom
pesée,pesà,,nom
•peser,punderà - se peser,,verbe
pestilentiel,pestilençiale,,adjectif
pétale,sf,,nom
pétard,sf füseta - elle a un,,nom
* peti~,picin • petit,,adjectif
pétrifier,vpr,,verbe
•pétrin,sf mastra,,nom
pétrir,ümpastà,,verbe
pétrissage,sf,,nom
*peu,pa gaire · peu,,adjectif
peupler,vpr. se,,verbe
peuplier,sf,,nom
*peur,petuya,,nom
peureux,petuyusu,,adjectif
peut-être,magara,,locution
phallus,batayu,,nom
pharmacien,speçià,,nom
phénix,sf,,nom
phoque,sf,,nom
physicien,fisieu,,nom
physique,a.sm. fisieu,,nom
*pic,ad. a pieu • pic,,nom
picarel,gavarrun,,nom
* pie,a.inv. gianeu e negru,,nom
* pièce,sm. tacun,,nom
*pied,sm. parmu,,nom
piège,sf trapa,,nom
* pierre,lapida,,nom
piètre,miseru,,adjectif
pieuvre,sm,,nom
pieux,piusu,,adjectif
pigeon,curumfiu,,nom
* pile (amas),sm,,nom
(pilon),sm. pilun,,nom
pillage,sf,,nom
piller,rapinà,,verbe
pilon,pistun,,nom
pilote,remura,,nom
piloter,ghidà,,verbe
pilule,pilura,,nom
• piment,sf,,nom
• pin,inv,,nom
* pince,pl,,nom
* pincer,pelüeà,,verbe
pinçon,sf,,nom
pingouin,sf martina,,nom
pintade,farauna,,nom
pioche,pieun,,nom
piocher,lavurà,,verbe
pion,sf • pion (surveillant),,nom
piquant,sm. spina,,adjectif
• piqûre,piqüra,,nom
*pire,pessimu,,nom
pis,pussa,,nom
•pissaladière,pissaladiera,,nom
• pisse,pisciarlin,,nom
* pisser,ürinà,,verbe
piste,traça ; sm. sbregu,,nom
*pistolet,rabatin,,nom
pitié,eumpassiun - par pitié,,nom
pit~n (clou),sm. pieu,,nom
(affiche),eartelu,,nom
* place,sm. postu,,nom
placer,pustà,,verbe
plafonnier,sf,,nom
plage,grava,,nom
plaider,litigà,,verbe
plaidoyer,sf,,nom
• plaindre,cumpaH,,verbe
plaindre,se lamentà,,verbe
plaine,basciüra ; sm. cian,,nom
plainte,lagna,,nom
• plaire,pieije,,verbe
plaisant,scherçusu • plaisant,,adjectif
"' plaisanter, v. bürlà, scherçà, faceçià. 
plaisanterie, sf. bürla, sm. scherçu. 
' plaisir",pieijè,,nom
plan : ciantà aill • plan,projet),,adjectif
• plancher,surà mortu,,nom
• planter,vpr. se,,verbe
plaque,lastra,,nom
plaquer,plaqà,,verbe
• plat (plan),cianelu • plat,,adjectif
platine,s.f platina,,nom
plâtras,gipassu,,nom
• plein,curmu,,adjectif
*pleurer,lagrimà,,verbe
• pli,sf. cega,,nom
plier,vpr. se cegà,,verbe
