fr,mc,phonetic,cat
quadragnaire,qadragenari,,adjectif
quarantaine,qarantena,,nom
quarante,qaranta,,adjectif
quart,qartu,,adjectif
quarte,qarta,,nom
fièvre quarte,qartana,,autre
quartier,qartiè,,nom
quartier-maître,qartiemestrc,,nom
quartz,quarzu,,nom
quasi,scaiji,,adjectif
quasi,tocu d'a chœscia de vitela,,nom
quaternaire,qaternari,,adjectif
quatorze,qatorze,,adjectif
quatrain,qartina,,nom
quatre,qatru,,adjectif
quatre-mâts,barcu bestia,,nom
quatre-temps,tempure,,nom
quatuor,qartetu,,nom
que,c he,,adjectif
quel,qale,,adjectif
quelconque,qalunche,,adjectif
quelque,qarche,,adjectif
quelquefois,a vote,,adjectif
quelqu'un,qarcün,,pronom
quémander,mandià,,verbe
un quémandeur,ün scüra burnache,,autre
qu'en-dira-t-on,ciarla,,nom
quenouille,ruca,,nom
tomber en quenouille,finl ün fauda,,autre
quenouillée,rucà,,nom
querelle,garruya,,nom
quereller (se),litigà,,verbe
querelleur,cicutaîre,,adjectif
quérir,çercà,,verbe
questeur,qestù,,nom
question,qestiun,,nom
il est question de,se trata de,,autre
question (torture),turtüra,,nom
questionnaire,qestiunari,,nom
questionner,qestiunà,,verbe
questure,qestüra,,nom
quête,culeta,,nom
quêter,qestüà,,verbe
queue,cua,,nom
queue-de-morue,mcrlüsse,,nom
qui,che,,pronom
quiconque,qalunche,,pronom
quidam (un),ün tale,,nom
quiétude,qietüdine,,nom
quignon,ghignun,,nom
quignon de pain,cucurruciu,,nom
quille,qiya,,nom
quincaillerie,qincaya,,nom
quincaillier,qincayè,,nom
quinine,qini,,nom
quinquagénaire,qinqagenari,,adjectif
quinquet,lüminin,,nom
quinquina,qina,,nom
quintal,qintale,,nom
quinte (cinq),qinta,,nom
quinte (accès de toux),qinta,,autre
quint,qintu,,adjectif
quintessence,qintessença,,nom
quintette,qintetu,,nom
quintuple,qintüplu,,adjectif
quintupler,qintüplà,,verbe
quinzaine,qinzena,,nom
quinze,qinze,,adjectif
quiproquo,eqivucu,,nom
quittance,qitança,,nom
quitte,qitu,,adjectif
quitter,qità,,verbe
se quitter,se qità,,verbe
quoi,che,,pronom
quoique,bencbè,,particule
quotidien,qutidian,,nom
quotient,quçiente,,nom
