fr,mc,phonetic,cat
à,a,,particule
a,a,,verbe
il a,elu à,,autre
abaisser,abascià,,verbe
s'abaisser,abascià,,verbe
s'abascià,s'ümilià,,autre
abandon,abandun,,nom
abandonner,abandunà,,verbe
s'abandonner,s'abandunà,,verbe
abandonner,perde curage,,verbe
abasourdir,sbalurdi,,verbe
abasourdissement,sbalurdimentu,,nom
abâtardir,ümbastardl,,verbe
abat-jour,paralüme,,nom
abattage,abatage,,nom
abattement,abatimentu,,nom
abattoir,abauo,,nom
abattre,abate,,verbe
s'abattre,massà,,verbe
s'abate,massà,,verbe
abattre (tuer),massà,,verbe
abattre,massà,,verbe
abbaye,abadia,,nom
abbaye,badia,,nom
abbé,abate,,nom
abbesse,abadessa,,nom
abbesse,badessa,,nom
abcès,pustema,,nom
abdication,abdicaçiun,,nom
abdiquer,abdicà,,verbe
abeille,abiya,,nom
grosse abeille du bois,tabard,,nom
aberration,aberraçiun,,nom
abêtir,ümbestiall,,verbe
s'abêtir,s'ümbestiali,,verbe
abhorrer,aburri,,verbe
abhorrer,aburninà,,verbe
abîme,abissu,,nom
abîmer (endommager),früstà,,verbe
abîmer (endommager),danegià,,verbe
s'abîmer,se früstà,,verbe
s'abîmer (s'engloutir),se profundà,,verbe
s'abîmer (s'engloutir),s'ünabiscià,,verbe
s'abîmer,se profundà,,verbe
s'abîmer,s'ünabiscià,,verbe
abjuration,abgiüraçiun,,nom
abjurer,abgiürà,,verbe
ablation,ablaçiun,,nom
ablette,dürgan,,nom
ablution,ablüçiun,,nom
abnégation,abnegaçiun,,nom
aboiement,baubu,,nom
abolir,abuli,,verbe
abolition,abuliçiun,,nom
abominable,abuminabile,,adjectif
abomination,abuminaçiun,,nom
abominer,abuminà,,verbe
abondamment,a breti,,adjectif
abondance,abundança,,nom
abondant,abundante,,adjectif
abonder,abundà,,verbe
abonné,abunau,,adjectif
abonnement,abunamentu,,nom
abonner,abunà,,verbe
s'abonner,s'abunà,,verbe
a bord,abordu,,nom
abordable,aburdabile,,adjectif
abordage,aburdage,,nom
aborder,aburdà,,verbe
aborder,aprudà,,verbe
aboutir,arrivà,,verbe
aboutir,desbucà,,verbe
aboutir,andà a fini,,verbe
aboyer,baubà,,verbe
abrégé,cumpendiu,,nom
abrégé,cumpendiusu,,nom
en abrégé,ün poche parole,,autre
abréger,abrevià,,verbe
pour abréger,per a fù cürta,,autre
abreuver,abüverà,,verbe
abreuvoir,abüveraù,,nom
