fr,mc,phonetic,cat
babil,ciaciarada,,nom
babiller,ciaciarà,,verbe
babiole,babiola,,nom
bâbord,babordu,,nom
bac (cuve),cunca,,nom
bâche,tendun,,nom
bâcler,travayà sença cüra,,verbe
bactérie,bateri,,nom
badaud,bighelun,,nom
badigeonner (enduire de chaux),üncauçinà,,verbe
se badigeonner (médication),s'unze d'unghente,,verbe
badigeonner,üncauçinà,,verbe
se badigeonner,s'unze d'unghente,,verbe
badîne,vinca,,nom
badiner,scherçà,,verbe
bafouer,scherni,,verbe
bafouiller,ciaramunà,,verbe
bâfrer,sbafa,,verbe
plier bagage,se n'andà,,autre
bagarre,bagarra,,nom
bagatelle,bagatela,,nom
bagne,galera,,nom
bague,baga,,nom
baguette,bagheta,,nom
bahut,baü,,nom
bai,baiu,,adjectif
baie (golf),baia - baie (fruit),,nom
baignade,bagnada,,nom
baigner,bagnà - se baigner,,verbe
baignoire,bagnu,,nom
bail,cuntratu d'afltu,,nom
bâillement,bayu,,nom
bâiller,bayà,,verbe
bain,bagnu,,nom
baïonnette,baiuneta,,nom
baiser,baijà,,verbe
baiser,baiju,,nom
baisse,sbascia,,nom
baisse,rebasciu,,nom
baisser,bascià,,verbe
se baisser,s'acugunà,,verbe
bal,balu,,nom
balade,prumenada,,nom
balai,ramassa,,nom
coup de balai,ramassà,,autre
balance,barança,,nom
balancelle,barançela,,nom
balancer,balançà,,verbe
se balancer,se balançà,,verbe
balancier,balançin,,nom
balançoire,scarpuleta,,nom
balayage,ramassada,,nom
balayeur,ramassiè,,nom
balayure,rementa,,nom
balcon,barcun,,nom
baldaquin,bardachin,,nom
baleine,balena,,nom
balise,balisa,,nom
baliverne,baliverna,,nom
ballade,balada,,nom
balle (ballon),bala - balle (projectile),,nom
balle (ballot),bal a,,nom
ballet,baletu,,nom
ballon,balun,,nom
ballonner,gunfià,,verbe
ballottage,balutage,,nom
ballotter,balutà,,verbe
balourd,balurdu,,adjectif
balsamine,barsamina,,nom
balustrade,balüstrada,,nom
balzan,barzan,,adjectif
bamboche,baldoria,,nom
bambou,bambù,,nom
ban,bandu,,nom
banal,banale,,adjectif
banalité,banalità,,nom
banane,banana,,nom
bananier,bananè,,nom
banc,bancu,,nom
bancal,rangu,,adjectif
bande (lien),benda,,nom
bande (surface allongée de terrain),fascia,,autre
bande (groupe),cumbricula,,nom
bande (inclinaison),sbandu,,nom
bander (entourer de bandes),bendà,,verbe
se bander,se fascià,,verbe
bander (tendre),bandà,,verbe
bandit,bandiu,,nom
bandite,bandia,,nom
banditisme,banditismu,,nom
bandoulière,banduliera,,nom
banlieue,suburgu,,nom
banne (panier),banastra,,nom
banne (tente),tenda,,nom
banni,relegau,,adjectif
bannière,bandiera,,nom
bannir,relegà,,verbe
banque,banca,,nom
banqueroute,bancai'uta,,nom
banquet,banchetu,,nom
banquette,bancheta,,nom
banquier,banchiè,,nom
baptême,batesà,,nom
baptiser,batesà,,verbe
Baptiste,Batista,,nom
baptistère,batisteri,,nom
baquet,tina,,nom
gros baquet à lessive,tinassu,,autre
baquet,baya,,nom
gros baquet à lessives,tinassu,,nom
bar (buvette),bar,,nom
bar (buvette),büveta,,nom
bar (poisson),luvassu,,nom
bar,bar,,nom
bar,büveta,,nom
bar,luvassu,,nom
baraque,baî'aca,,nom
barbare,ba rbaru,,adjectif
barbarie,barbaria,,nom
barbe,barba - Barbe,,nom
barbet,barbetu,,nom
barbier,barbiè,,nom
barbillon,barbiyun,,nom
barboter,barbutà,,verbe
barboter une bourse,rubà üna bursa,,autre
barboteur,barbutun,,nom
barbouillage,barbuyage,,nom
barbouiller,barbuyà,,verbe
se barbouiller,se mascarà,,verbe
barbouilleur,paciügaire,,nom
barbu,sm,,adjectif
barbue (poisson),rumbu,,nom
bardane,!amburda,,nom
barde,pueta,,nom
barde de lard,lesca de lardu,,nom
baril,bai'i,,nom
baromètre,barumetru,,nom
baron,baî'un,,nom
baroque,sm,,adjectif
barque,barca,,nom
barrage,sbarramentu,,nom
barre (tige),barra,,nom
barre (trait),barra,,nom
barre (gouvernail),timun,,nom
barrer,barrà,,verbe
se barrer,scapà,,verbe
barrette,berreta da preve,,nom
barreur,timunè,,nom
barricade,barricada,,nom
barrière,barriera,,nom
barrique,bute,,nom
baryton,baritun,,nom
jouer du baryton,sunà u bumbardin,,autre
bas,sm,,adjectif
bas (vêtement),caussa,,nom
basane,basana,,nom
bascule,bassacüla,,nom
base,basa,,nom
baser,basà,,verbe
se baser,se basà,,verbe
basilic,baijaricô,,nom
basilique,basllica,,nom
basque (d'un vêtement),basca,,nom
basque,bascu,,adjectif
basse,bassa,,nom
basse-cour,cortile,,nom
bassesse,basscssa,,nom
bassin,trœyo,,nom
bassine,bassina,,nom
bassinoire,scaodaleto,,nom
bastonnade,bastonà,,nom
bât,basto,,nom
bataille,bataya,,nom
batailler,batayà,,verbe
bataillon,batayon,,nom
bâtard,bastardo,,adjectif
bateau,batclo,,nom
batelier,bateliè,,nom
bâter,ümbastà,,verbe
bat-flanc,batifianco,,nom
bâti,bastiüra,,nom
bâtiment (marine),bastimentu,,nom
bâtiment (construction),constrüçion,,nom
bâtir,basti,,verbe
bâton,baston,,nom
bâtonner,bastunà,,verbe
battant,batayo,,nom
battement,batimentu,,nom
batterie,bataria,,nom
battre,bate,,verbe
battue,batüa,,nom
baudet,borrico,,nom
haro sur le baudet,deghe au luvu,,autre
baudrier,budriè,,nom
baudroie,büdegu,,nom
baume (résine),barsamo,,nom
baume (grotte),barma,,nom
bavard,ciaciaron,,adjectif
bavardage,ciaciara,,nom
bavarder,ciaciarà,,verbe
bave,bava,,nom
baver,bavà,,verbe
bavette,baveta,,nom
tailler une bavette,se fa qatro parole,,autre
baveux,bavusu,,adjectif
bavure,bavüra,,nom
bayer,bayà,,verbe
béant,baya nte,,adjectif
béat,beato,,adjectif
béatification,beatilicaçiun,,nom
béatifier,beatilicà,,verbe
béatitude,beatitüdi ne,,nom
beau,belo,,adjectif
beau,belu,,nom
beaucoup,prun,,adjectif
beau-fils,bel u tiyo,,nom
belle-fille,bela fiya,,nom
beau-frère,cügnau,,nom
belle-sœur,cügnà,,nom
beau-père,belu pere,,nom
belle-mère,bcla mere,,nom
beauté,belessa,,nom
beaux-arts,bele arte,,nom
bébé,ninin,,nom
bec,becu,,nom
bécasse,becassa,,nom
béchamel,sauça gianca,,nom
bêche,magayu,,nom
bêcher,magayà,,verbe
bécoter,baijüssà,,verbe
becqueter,becà,,verbe
bedaine,pansa rica,,nom
bedeau,bedô,,nom
bédouin,beduin,,nom
bégayer,bctcgà,,verbe
bégonia,begonia,,nom
bègue,betegaire,,adjectif
béguin,bcghin,,nom
beignet,frcsciœ,,nom
bêler,berà,,verbe
belette,belura,,nom
belge,bclga (pl. bclgi),,adjectif
