fr,mc,phonetic,cat
gabardine,gabardina,,nom
gabare,gabarra,,nom
gabarit,gabari,,nom
gabelle,gabela,,nom
gabelou,gabelotu,,nom
gabier,gagè,,nom
gabion,gabiun,,nom
gâche (serrure),gacia,,nom
gâche (truelle),cassœra,,nom
gâcher,pastissà,,verbe
gâcher,desgayà,,verbe
gâchette,gaceta,,nom
gâcheurs,pastissaire,,nom
gâcheurs,strüssi,,nom
gâchis,garbüyu,,nom
gâchis,pastissu,,nom
gâchis,pastissada,,nom
gaffe (impair),cufa,,nom
faire gaffe,stà atentu,,autre
gaffe (crochet),gafa,,nom
gaffe (crochet),ganciu,,nom
gaffer (commettre un impair),fa üna cufa,,verbe
gaffer (accrocher),üngancià,,verbe
gage (caution),cauçiun,,nom
gage (caution),caparra,,nom
gages (appointements),paga,,nom
gager,scumete,,verbe
gageure,scumessa,,nom
gageure,pariu,,nom
gagner,gagnà,,verbe
gai,alegru,,adjectif
gaieté,alegria,,nom
gaillard (sain / vif),gayardu,,adjectif
gaillard (navire),castelu de prua,,nom
gaillard (navire),castelu de pupa,,nom
gain,gagnu,,nom
gaine,stüciu,,nom
gaine,corpu,,nom
galanterie,galanteria,,nom
galantine,galantina,,nom
galbe,garibu,,nom
gale,tigna,,nom
galéjer,bürlà,,verbe
*galère,galiota,,nom
galerie (tunnel),sm. tünel,,nom
galerie (loggia / portique),logia,,nom
galet,peira smussà,,nom
galetas,surà mortu; sf sufieta,,nom
galette,galeta,,nom
galeux,rugnusu,,adjectif
galiote,galiota,,nom
galle,tümù d'e ciante,,nom
gallicisme,françesismu,,nom
galoche,galocia,,nom
menton en galoche,mentun a zoculu,,nom
galon,galun,,nom
galonner,galunà,,verbe
*galop,galopu,,nom
galopade,galupada,,nom
galoper,galupà,,verbe
galvaniser,galvanisà,,verbe
galvauder,avili,,verbe
gambade,gambada,,nom
gambader,sgambetà,,verbe
gamelle,gamela,,nom
gamelle,barrachin,,nom
une pleine gamelle,üna gamelada,,autre
gamin,bificbin,,adjectif
gamin,fiyurame,,adjectif
bande de gamins,garsipaya,,nom
gamme,gama,,nom
ganache,ganascia,,nom
gandin,farlüchetu,,nom
ganglion,gangliun,,nom
gangrène,gangrena,,nom
gangrener,gangrenà,,verbe
gant,gantu,,nom
garagiste,garagista,,nom
garance,garança,,nom
garance sauvage,grana de risu,,autre
garant,garante,,nom
garantie,garantia,,nom
garantir,garanti,,verbe
garce,garça,,nom
garçon,garçun,,nom
garde (action de garder),gardia,,nom
garde (groupe qui garde),gardia,,nom
