fr,mc,phonetic,cat
hacher v. ciapulà,münüssà,,autre
haleter,arenà,,verbe
halle aux poissons,ciapa sf,,autre
*hasard sm. asar inv,sor inv,,adjectif
• haut a. autu,ünsciü • haut sm. autu,,autre
hecto,eto inv,,autre
herbe,erba,,nom
herbeux,erbusu,,adjectif
herbier,erbari,,nom
heureusement ad. ause bon,furtünatamente,,autre
* heureux a.s. ürusu,furtünau,,nom
* heurter v. ürtà,üntupà - se heurter vpr. s'ürtà,,autre
hideux a. laidu,umbile,,nom
* honnête a. unestu,probu,,autre
honnêteté sf unestetà,unestà,,pronom
hoqueter,sangiütà,,verbe
horaire,urari,,nom
hormis prép. a parte,sarvu,,nom
hors prép.ad. fœra,sarvu,,autre
hôtelier a.s. uteliè,aubergista,,autre
hôtellerie,utelaria,,nom
hotte,garba,,nom
hotte de vendangeur,gurbin,,autre
huissier,üssiè,,nom
exploit d'huissier,cunstatu sm,,autre
huître,ostrega,,nom
les humains,i omi,,autre
humaniser,ümanisà,,verbe
s'humaniser,s'ümanisà,,verbe
humanisme,ümanismu,,nom
humaniste,ümanista,,nom
humanitaire,ümanitari,,adjectif
humanité,ümanità,,nom
humble,ümile,,nom
humblement,ümilmente,,adjectif
humecter,ümetà,,verbe
s'humecter,s'ümetà,,verbe
humer v. inalà,sciorbe,,adjectif
humeur,ümù,,nom
humide,ümidu,,adjectif
humiliant,ümilîante,,adjectif
humiliation,ümiliaçiun,,nom
humilier,ümilià,,verbe
s'humilier,s'ümilià,,verbe
hymen,imen,,nom
hymne,imnu,,nom
hypocrite a. ipucritu • hypocrite s. ipucrita,faussüme,,autre
