fr,mc,phonetic,cat
* image sf imagine,stampa,,nom
imaginer v. imaginà,fantasticà - s'imaginer vpr. s'imaginà,,nom
*imbécile a.s. imbeçile,minciun,,nom
impair a. despa,sf cufa,,autre
* importer (avoir de /'importance) v. impurtà,intrudüje,,adjectif
*impôt sm. impusiçiun sf,tassa sf,,autre
impression (empreinte) sf stampa,sm. sentimentu,,autre
imprimeur sm. stampaù,stampaire,,autre
improviser,impruvisà,,verbe
improviste (à l'),a l'impruvista,,nom
incarner,incarnà,,verbe
s'incarner,s'incarnà,,verbe
incartade,stravagança,,nom
* incendier,incendià,,verbe
incertain,incertu,,adjectif
incertitude,incertitüdine,,nom
* incident,casu · incidente sf incisa,,adjectif
inclinaison,inclinaçiun,,nom
inclination,inclinaçiun,,nom
*incliner,inclinà,,verbe
s'incliner,s'inclinà,,verbe
inconsidéré a. incunsiderau,inavertente,,pronom
indigeste a. indigestu,grevusu,,autre
indiquer v. indicà,indiqà,,nom
individualiser,individüalisà,,verbe
s'individualiser,s'individüalisà,,verbe
individualisme,individüalismu,,nom
individualistes,individüalista,,autre
individuel,individüale,,adjectif
indivis,. indivisu,,adjectif
indocilité,inducilità,,nom
indolence,indulença,,nom
• indolent a.s. indulente,fiacususu,,nom
infirmite sf infirmità,malan - couvert d'infirmités: ünmagagnau a.s,,nom
ingénu a.s. infiurau,ingenüu,,autre
ingérence,ingerença,,nom
ingérer,ingeri,,verbe
s'ingérer,s'ingeri,,verbe
ingrat,ingratu,,adjectif
ingratitude,ingratitüdine,,nom
inonder v. inundà,alagà,,autre
inquiet a. inqietu,pensierusu,,autre
inscription sf inscriçiun,lapida - inscription maritime: rolusm,,autre
insérer,inseri,,verbe
s'insérer,s'inseri,,verbe
insidieux,insidiusu,,adjectif
insigne,distintivu,,nom
insigne,insignu,,adjectif
insignifiant,nülu,,adjectif
insinuer,insinüà - s'insinuer vpr. s'insinüà,,verbe
insipide,sença güstu,,adjectif
* insolation,insulaçiun,,nom
insolence,preputença,,nom
*instant (moment) sm. atimu,mumentu • instant (urgent) a. urgente,,autre
intrigant a.s. intrigante ; sm. facendun,ficanasu,,autre
introduire v. intrudüje,ficà - s'introduire vpr. s'intrudüje,,autre
issue (passage) sf uscita; sm. passaggio,scarti . sm. Italie nf Italia,,autre
* ivrogne s. ubriacone,beone,,autre
