fr,mc,phonetic,cat
la,ra - le,,adjectif
labeur,obra,,nom
labourage,sf,,nom
labourer,surcà,,verbe
laboureur,lavuraire,,nom
lacet,sf stringa,,nom
lâche (distendu),a.s. vile,,adjectif
* lâcher,mulà,,verbe
lâcheté,viliacheria,,nom
laconisme,sf cuncisiun,,nom
lagopède,gianca,,nom
* laid,laidu,,adjectif
laideur,sm. Jaidüme,,nom
lainage,sf,,nom
laisse (lien),sf bagnasciüga,,nom
* laisser,abandunà - se laisser,,verbe
laitance,sm,,nom
laiteron,sf,,nom
laitue,ciücun,,nom
lambeau,sfp/.; sf straça,,nom
lambiner,armanacà,,verbe
* lambourde,lamburda,,nom
lame (bande plate),Jastra • lame (vague),,nom
lamentation,Jagna,,nom
* lampe,lümera,,nom
lamper,lampà,,verbe
lampion,gotu da lüminaçiun,,nom
lance,sf,,nom
* lancer,getà • lancer,,verbe
lange,lani,,nom
langouste,sf,,nom
* langue (organe),sf lcnga ; sm. parlà,,nom
langueur,langù ; sm. langhimentu,,nom
languir,languri,,verbe
* lanterne,lanter- nun,,nom
laper,sm,,verbe
laquais,laqè,,nom
laque,laqa,,nom
larcin,sf ladruniçia,,nom
lardon (lard),sm. pctesun,,nom
* large,spaçiusu • large,,adjectif
largesse,liberalità - faire des largesses,,nom
larguer,slargà,,verbe
larynx,sf,,nom
las,lassu • Jas ! interj. pe- cau,,adjectif
lasser,scagassà,,verbe
lassitude,scagassada,,nom
*latitude (facilité),latitiidine • latitude (coordonnée),,nom
latrines,sf,,nom
lavage,sf,,nom
lavande,ravendura ; sm. spigu,,nom
lavement,clisteri,,nom
* laver,netcsà - se laver,,verbe
lavette,sm,,nom
lavoir,nai,,nom
laxatif,sf,,nom
lécheur s. lecapiati,lecacü,,adjectif
*léger a. lingè,fütile,,nom
* légume sm. legüme,erbage,,autre
lentement ad. adaiju,ciancianin,,autre
*leste a. lestu,pruntu,,adjectif
* lever v. issà,spuntà,,autre
se lever,se issà • lever sm. levà,,verbe
levier,sf - levier de maçon : parferru,,nom
levure,criscente,,nom
* lézard,sf,,nom
lézarde,crepaüra,,nom
* liaison,cuncaenaçiun,,nom
libellule,gotu,,nom
libéral,largu,,adjectif
libéralité,larghessa,,nom
libérer,desprejunà - se,,verbe
liberté,licença,,nom
libidineux,beciun,,adjectif
* libre,independente. ·,,adjectif
licence,sm. permessu,,nom
licencié,cungediau • licenciés,,adjectif
licencier,cungedià,,verbe
licencieux,licençiusu,,adjectif
licite,lecitu,,adjectif
licou,descavestrà,,nom
liège,sf nata,,nom
* lien,sf staca,,nom
* lier,grupà,,verbe
lierre,sf,,nom
*lieu (P.ndrr>it),postu • lieu,,nom
*lièvre,sf,,nom
*ligne (fil),sm. fi • ligne (trait,,nom
direction),ligna,,nom
lignée,stirpa,,nom
lignite,sf,,nom
* ligure,ligüru - Ligure n. Liguru,,adjectif
limace,limaça - limaçon,,nom
limbe,sm.p/. limbi,,nom
limite,demita,,nom
limiter,vpr. se,,verbe
limon (alluvion),sf pau- ta,,nom
limonade,limunada,,nom
limpide,ciairu,,adjectif
linguistique,sf. lenghîstica,,adjectif
* linot,sf. fanetu,,nom
liquéfier,vpr. se liqefa,,verbe
* lire,sf. lira,,verbe
liseron,sf.pl,,nom
lisible,bile,,adjectif
* lit,giassu,,nom
litière (paille,sf. rastügia,,nom
litige,sf lite,,nom
libru • livre (poids),sm,,nom
livrer,cunsignà - se livrer,,verbe
local,sm. luca le,,adjectif
localité,sm. lœgu,,nom
locataire,sm,,nom
location,fitu,,nom
locomotive,machina,,nom
* loger,abità,,verbe
loger,se ficà,,verbe
logique,sf. logica,,adjectif
logis,sf abitaçiun,,nom
loi,regüla,,nom
lointain,sm. luntança,,adjectif
*loisir,tempu,,nom
lombes,sm.pl,,nom
*long,ad.sm. longu,,adjectif
longe (viande),sf currea,,nom
longue-vue,sm,,nom
loquet,sf crica,,nom
lorgner,sbircià,,verbe
lorgnette,sm,,nom
loriot,garbè • compèreloriot,,nom
losange,sf,,nom
lot,sf vincita,,nom
lotir,sparti ün loti,,verbe
loto,sf,,nom
lotte,sm,,nom
*louche,Iuscu • louche,,adjectif
loucher,bicià,,verbe
loucheurs,biciu,,autre
*louer (de location),lugà - se,,verbe
Jouer,v,,verbe
laudà,vpr. se,,nom
*Louis,sm. ma- rengu,,nom
*loup,sm,,nom
loupe (optique),sf lüpega,,nom
* lourd,penusu,,adjectif
lourdaud,paciacu,,adjectif
loyal,francu,,adjectif
loyalement,sinceramente,,adjectif
loyauté,sincerità,,nom
loyer,fitu,,nom
*lubie,matagun,,nom
lubrifier,œrià,,verbe
lucarne,sm. lüjernà,,nom
luette,lügheta,,nom
lueur,sm. barlüme - lueur,,nom
luire,resplende,,verbe
*lumière (clarté),sm. lüme •,,nom
lumière (trou),sm,,nom
lumignon,lüminun,,nom
lumineux,lampante,,adjectif
lupanar,casin,,nom
tre (éclat,sm. lüstru,,autre
lycée,liçeu,,nom
lynx,sf,,nom
