fr,mc,phonetic,cat
obscurité sf uscür:ità,astrüsità,,nom
occuper v. ucüpà,s'interessà,,autre
offrir v. ofre,sporze - s'offrir vpr. s'ofre,,autre
ogre s. ogre,magu,,autre
ombrageux a. umbrusu,süfiscu,,autre
ondée sf ciavana,aigada,,autre
orage sm. tempurale,bufera,,autre
ordinaire (habituel,abitüale,,verbe
ordure sf purcaria,rementa,,nom
orient sm. uriente,est,,autre
original (primitif) a.s. uriginale,uriginale,,adjectif
ouest a.sm. uest,punente,,autre
ouvrir v. drœve,se sfugà,,autre
oxygène,ussigcnu,,nom
