fr,mc,phonetic,cat
ubac,übagu,,nom
ubiquité,übiqüità,,nom
ulcère,ülceru,,nom
ulcérer,ülcerà,,verbe
ulcéreux,ülcerusu,,adjectif
ultérieur,ülteriù,,adjectif
ultime,ürtimu,,adjectif
ultra,ültrà,,adjectif
un (une),ün (f. üna),,adjectif
un,ün,,adjectif
une,üna,,adjectif
un,ün (inv. üna),,adjectif
unanime,ünan imu,,adjectif
unanimité,ünanimità,,nom
uni,üniu,,adjectif
unification,ünificaçiun,,nom
unifier,ünificà,,verbe
s'unifier,s'ünificà,,verbe
uniforme,ünifurme,,adjectif
uniforme,ünifurma,,nom
uniformément,ünifurmamente,,adjectif
uniformisation,ünifurmaçiun,,nom
uniformiser,ünifurmà,,verbe
uniformité,ünjfurmità,,nom
unilatéral,ünilateral,,adjectif
union,cuncordia,,nom
union,üniun,,nom
unique,unicu,,adjectif
fils unique,ünigenitu,,autre
unir,uni,,verbe
unir,cuncilià,,verbe
s'unir,s'üni,,verbe
unisson,ünissun,,nom
unitaire,ünitari,,adjectif
unité,ünità,,nom
univers,ünivcrsu,,nom
l'univers créé,u creau,,autre
universaliser,üniversalisà,,verbe
universalité,üniversalità,,nom
universel,üniversale,,adjectif
universellement,üniversalamente,,adjectif
universitaire,üniversitari,,adjectif
universitaire,prufossù,,nom
université,üniversità,,nom
univoque,ünivucu,,adjectif
uranium,üra niu,,nom
urbain,ürban,,adjectif
urbanisme,ürbanismu,,nom
urbaniste,ürbanista,,adjectif
urbanité,ürbanità,,nom
urée,ürea,,nom
urémie,üremia,,nom
urètre,üretru,,nom
urgence,ürgença,,nom
urgent,ürgente,,adjectif
urger,iesse ürgente,,verbe
urinaire,ürinari,,adjectif
urine,ürina,,nom
urine,pisciu,,nom
uriner,piscià,,verbe
uriner,ürinà,,verbe
urinoir,pisciaù,,nom
urique,üricu,,adjectif
urne,üma,,nom
urticaire,urticari,,nom
urticant,urtigante,,adjectif
usage,üsage,,nom
usage,üsu; sf,,nom
usage,üsança,,nom
usagé,üsagiau,,adjectif
usagé,früstu,,adjectif
usager,üsagè,,nom
usé,früstu,,adjectif
user,früstà,,verbe
s'user,se früstà,,verbe
usine,Usina,,nom
usiner,üsinà,,verbe
usité,üsitau,,adjectif
usité,impiegau,,adjectif
ustensile,ütensile,,nom
ustensile,arnese,,nom
usuel,üsüale,,adjectif
usuellement,üsüalamente,,adjectif
usufruit,üsüfrütu,,nom
usufruitier,üsüfrütari,,adjectif
usuraire,üsürari,,adjectif
usure,üsüra,,nom
usure,früstessa,,nom
usure,cunsümü,,nom
usurier,üsüriè,,nom
usurier,üsürari,,nom
usurier,strussin,,nom
usurpateur,üsürpatù,,nom
usurpation,üsürpaçiun,,nom
usurper,üsürpà,,verbe
utérin,üterin,,adjectif
utérus,ütcru,,nom
utile,ütile,,adjectif
utile,upurtün,,adjectif
utilement,ütilamente,,adjectif
utilisable,ütilisabile,,adjectif
utilisateur,ütilisatù,,nom
utilisation,ütilisaçiun,,nom
utiliser,ütilisà,,verbe
utiliser,se gode,,verbe
utilitaire,üti1itari,,adjectif
utilitarisme,ütilitarismu,,nom
utilité,ütilità,,nom
utopie,ütupia,,nom
utopique,ütopicu,,adjectif
utopiste,ütupista,,adjectif
