fr,mc,phonetic,cat
zèbre,zebru,,nom
courir comme un zèbre,andà cuma üna saeta,,autre
zébré,zebrau,,adjectif
zébrer,zebrà,,verbe
zélateur,zelante,,nom
zèle,zelu,,nom
zèle,premüra,,nom
entre zèle et empressement il n'y a qu'un pas,tra zelu e premüra nun gh'è ch'ün passu,,autre
zélé,zelante,,adjectif
zénith,zenit,,nom
zéphyr,zeliru,,nom
zéro,zeru,,nom
cinq degrés au-dessous de zéro,çinqe gradi sutà zeru,,autre
c'est un zéro,è ün belu zeru,,autre
zeste,sënça,,nom
zeste,sciorça,,nom
zézayer,zuzutà,,verbe
zibeline,zibellina,,nom
zigzag,zighezag,,nom
zigzaguer,zighezagà,,verbe
zigzaguer,ziguzagà,,verbe
zinc,zingu,,nom
boire un coup sur le zinc,büve ün cou au bancu,,autre
zizanie,zinzania,,nom
zodiaque,zudiacu,,nom
zone,zona,,nom
zoologie,zuulugia,,nom
zoologique,zuulogicu,,adjectif
le prince Rainier III a établi (1955) un Jardin d'acclimatation zoologique au pied du Rocher (Monaco),u principu Rainièr III a stabiliu (1955) ün Giardin d'aclimataçiun zuulogica au pen d'a Roca (Munegu),,autre
zoologiste,zuulugista,,nom
zouave,zuavu,,nom
faire le zouave,fa u bülu,,autre
zut,açidente,,salutation
zut,vatene au diau,,salutation
